,design,TDS 150m
QD.387.B2,0.335173384799324,0.335173384799324
QD.388.B2,0.3559964322010984,0.35599643220109844
QD.391.B2,-0.7255245525982257,-0.7255245525982257
QD.392.B2,0.1969960905999155,0.19699609059991552
QD.415.B2,0.1806864174017744,0.1806864174017744
QD.417.B2,-0.7502347655006337,-0.8617900214755944
QD.418.B2,0.6491929171989861,0.314097904658596
QD.425.B2,-1.3008034,-1.2511342741547191
QD.427.B2,0.9414835846007604,0.9729164825536032
QD.431.B2,0.4351830274989438,0.6011759263628945
QD.434.B2,-0.5278581910012674,-0.730839030919293
QD.437.B2,0.4055492834980989,0.22612175554815458
QD.440.B2,-0.6685246719983101,-0.6149605498223127
QD.444.B2,-0.4582186614997888,-0.22330913150772122
QD.448.B2,0.8960955489987326,0.6162107841044265
QD.452.B2,-1.263284384000845,-1.3523533274118649
QD.456.B2,0.8960955489987326,1.0099840641938092
QD.459.B2,-1.263284384000845,-1.263284384000845
QD.463.B2,-0.569607097600338,-0.569607097600338
QD.464.B2,1.2982678500000002,1.2982678500000002
QD.465.B2,-0.2468610055006337,-0.24686100550063372
QD.470.B2,-1.1289067389987326,-1.1289067389987326
QD.472.B2,0.6611797761005492,0.6611797761005492
